yyyymm;veh_f_all;veh_s_all;veh_u_all;veh_r_all;vehrn_lp_all;vehrn_biap_all;vehrn_lr_all;vehrn_biar_all;vehrn_gt_all;vehrn_mpg_all;vehrn_hp_all;vehrn_hr_all;vehrn_tb_all;vehrn_fb_all;vehrn_gas_all;vehrn_sel_all
197801;48;17;35;113;;;;;;;;;;;;
197802;45;22;33;112;10;25;0;1;1;3;22;1;2;2;3;7
197803;55;13;32;123;12;34;0;2;2;3;20;2;4;1;1;8
197804;51;17;32;119;7;36;1;1;3;3;22;2;3;0;2;10
197805;50;18;32;118;6;33;1;1;3;3;23;3;2;0;1;8
197806;53;14;33;120;7;39;1;1;4;3;24;4;1;1;1;11
197807;52;15;33;119;8;43;1;2;3;2;25;3;2;1;1;11
197808;40;18;42;98;5;28;1;1;2;2;32;5;2;1;1;11
197809;46;18;36;110;7;34;0;1;2;2;24;2;2;1;1;12
197810;50;14;36;114;4;38;0;2;1;3;24;3;3;1;1;10
197811;39;21;40;99;7;28;0;1;1;2;31;6;3;1;2;9
197812;42;22;36;106;4;31;1;1;1;2;28;6;1;2;3;7
197901;46;16;38;108;6;33;0;3;1;1;29;6;3;1;5;9
197902;44;17;39;105;7;29;0;1;1;4;30;6;2;1;3;8
197903;47;13;40;107;5;35;0;2;2;7;23;6;2;1;14;9
197904;45;12;43;102;5;30;1;2;1;12;21;5;3;3;19;10
197905;40;12;48;92;6;21;0;1;0;14;26;6;4;1;22;11
197906;37;13;50;87;7;21;0;1;0;12;25;4;2;1;26;13
197907;32;16;52;80;11;17;0;1;1;11;27;6;4;2;25;10
197908;38;14;48;90;17;14;0;1;1;11;27;7;4;2;18;11
197909;44;11;45;99;21;21;0;1;1;9;25;7;3;1;14;11
197910;45;9;46;99;16;23;0;2;1;8;27;8;3;1;13;10
197911;38;10;52;86;14;16;1;2;0;8;30;18;5;1;10;8
197912;44;9;47;97;20;20;1;1;1;10;27;18;4;3;13;8
198001;40;10;50;90;13;22;1;1;1;8;31;13;5;4;19;10
198002;47;8;45;102;21;19;1;2;1;14;22;14;3;1;13;10
198003;45;10;45;100;19;22;0;2;1;13;25;17;4;2;16;9
198004;35;10;55;80;15;10;2;1;0;12;32;24;4;2;16;8
198005;29;10;61;68;25;8;0;1;0;6;30;29;5;2;15;7
198006;37;14;49;88;27;9;2;1;0;5;24;22;4;3;9;10
198007;36;14;50;86;25;13;3;1;0;3;27;11;5;4;6;13
198008;42;12;46;96;24;12;3;1;0;7;27;11;8;1;5;13
198009;42;14;44;98;20;19;3;2;0;9;31;10;5;1;5;11
198010;45;16;39;106;17;17;2;2;1;12;23;14;7;2;4;13
198011;41;15;44;97;17;16;1;1;1;7;28;17;5;1;4;10
198012;33;9;58;75;13;12;2;2;0;5;31;30;7;2;5;12
198101;36;13;51;85;18;13;4;1;0;4;33;28;4;3;4;9
198102;39;11;50;89;22;12;2;1;0;4;31;27;5;2;8;9
198103;39;11;50;89;30;10;1;1;0;6;34;21;7;3;6;9
198104;42;9;49;93;25;19;1;1;1;4;31;22;6;2;5;8
198105;44;7;49;95;23;15;3;1;1;5;33;17;4;3;3;10
198106;33;10;57;76;14;12;1;1;0;5;34;28;6;1;2;9
198107;40;7;53;87;17;18;1;1;1;5;33;25;5;2;3;11
198108;43;10;47;96;19;18;4;1;1;4;26;26;4;1;4;8
198109;34;10;56;78;14;15;5;2;1;4;30;31;7;2;3;9
198110;37;10;53;84;20;14;4;0;0;2;36;29;5;2;1;8
198111;37;9;54;83;21;12;5;0;0;1;32;26;7;2;2;10
198112;34;10;56;78;22;12;5;1;1;1;37;27;10;3;2;9
198201;41;10;49;92;29;11;4;2;1;2;31;26;10;2;2;8
198202;37;12;51;86;33;6;2;0;0;2;33;28;7;4;2;9
198203;39;8;53;86;37;8;2;0;0;1;32;30;12;4;1;7
198204;40;9;51;89;36;7;7;0;1;2;28;29;9;4;1;8
198205;44;10;46;98;36;8;10;1;1;1;27;26;8;3;1;6
198206;40;6;54;86;32;6;6;1;0;1;33;27;8;3;2;10
198207;37;11;52;85;28;9;4;1;1;1;28;32;9;4;2;10
198208;35;11;54;81;26;7;5;1;1;2;32;30;9;3;1;7
198209;40;11;49;91;26;8;10;1;1;1;31;25;10;3;1;7
198210;44;10;46;98;29;7;10;1;1;1;26;19;11;3;0;7
198211;46;8;46;100;28;8;19;1;0;1;25;19;10;6;1;7
198212;53;8;39;114;35;6;26;1;1;1;23;14;8;5;1;7
198301;51;8;41;110;25;7;27;2;1;2;24;18;10;2;1;6
198302;57;6;37;120;24;8;34;1;2;1;26;10;9;3;0;5
198303;56;8;36;120;24;8;33;1;1;2;23;11;8;2;0;5
198304;66;5;29;137;28;8;38;2;3;2;19;11;5;2;0;5
198305;66;5;29;137;26;12;39;2;3;0;19;7;5;2;1;5
198306;63;9;28;135;23;11;39;1;4;1;20;6;5;2;1;6
198307;65;8;27;138;25;11;35;3;4;2;18;8;5;2;0;5
198308;65;7;28;137;25;12;30;3;3;1;16;6;7;2;1;4
198309;61;7;32;129;28;17;25;3;2;2;20;10;4;2;0;4
198310;59;7;34;125;22;17;16;3;3;2;25;8;6;3;0;6
198311;59;9;32;127;21;12;14;7;4;2;23;9;3;1;0;6
198312;56;11;33;123;21;12;20;2;4;2;24;9;4;2;0;5
198401;64;12;24;140;26;18;17;2;5;1;16;8;3;2;0;5
198402;62;10;28;134;22;16;20;3;4;2;18;8;3;0;0;4
198403;66;10;24;142;23;17;19;3;7;1;17;6;3;2;1;4
198404;59;11;30;129;16;17;19;3;9;1;22;10;3;2;0;6
198405;63;9;28;135;20;17;14;4;5;3;18;9;2;2;0;2
198406;60;10;30;130;21;18;12;6;5;1;20;8;3;2;0;2
198407;62;10;28;134;21;20;17;7;4;1;20;9;3;1;0;4
198408;59;11;30;129;19;17;12;5;6;2;19;12;4;2;1;4
198409;59;6;35;124;24;20;11;4;4;1;22;9;3;2;0;3
198410;54;12;34;120;18;17;10;4;5;2;23;8;4;2;0;3
198411;55;8;37;118;18;15;15;3;5;0;25;10;5;3;0;5
198412;55;10;35;120;18;14;13;3;6;2;24;12;5;2;0;4
198501;62;8;30;132;24;13;22;2;4;0;21;8;5;2;0;4
198502;61;9;30;131;26;14;23;1;5;1;21;8;4;1;0;4
198503;67;6;27;140;30;17;21;2;4;1;20;5;4;2;0;3
198504;68;6;26;142;28;14;22;3;3;1;21;5;4;1;0;4
198505;65;5;30;135;24;14;25;3;6;1;20;8;4;2;0;3
198506;67;7;26;141;26;13;32;3;4;1;17;4;4;2;0;4
198507;67;10;23;144;24;12;33;2;3;1;17;5;4;2;0;3
198508;64;10;26;138;24;14;35;1;3;1;18;5;3;1;0;4
198509;72;6;22;150;25;9;44;1;2;1;15;5;2;1;0;3
198510;65;7;28;137;23;10;40;1;3;1;19;6;5;1;0;3
198511;68;8;24;144;21;11;38;2;3;2;18;7;3;1;0;1
198512;63;9;28;135;24;8;36;2;2;1;20;6;3;1;0;4
198601;71;9;20;151;23;9;50;1;2;0;13;3;4;1;0;4
198602;73;6;21;152;22;9;52;2;4;1;13;4;4;1;0;2
198603;74;8;18;156;22;9;52;2;3;0;13;3;4;1;0;3
198604;73;5;22;151;22;7;52;2;3;1;14;3;4;2;0;2
198605;75;6;19;156;28;6;57;1;4;0;10;3;5;2;0;2
198606;77;5;18;159;23;8;59;3;3;0;11;3;3;1;0;2
198607;74;6;20;154;23;8;52;2;5;1;14;3;4;1;0;3
198608;73;8;19;154;23;9;51;1;2;0;12;3;3;2;0;1
198609;81;3;16;165;25;6;70;3;2;0;11;4;2;0;0;1
198610;72;7;21;151;22;5;55;3;2;0;12;8;2;0;0;1
198611;63;6;31;132;26;7;42;2;2;0;17;9;3;1;0;2
198612;64;7;29;135;23;9;43;1;1;0;15;4;3;1;0;2
198701;55;9;36;119;21;8;32;2;2;1;17;6;5;1;0;2
198702;62;9;29;133;29;8;36;1;2;0;13;4;3;3;0;2
198703;66;7;27;139;29;6;43;1;1;0;15;4;3;2;0;2
198704;64;8;28;136;28;9;37;4;3;1;15;2;3;1;0;3
198705;67;9;24;143;27;13;37;3;2;0;15;6;3;1;0;3
198706;65;10;25;140;28;15;35;3;0;1;16;5;3;1;0;2
198707;67;11;22;145;32;10;27;3;3;1;15;5;3;1;1;3
198708;66;9;25;141;36;10;35;3;2;0;15;5;3;0;1;5
198709;66;9;25;141;29;15;36;4;2;0;16;4;3;2;1;4
198710;58;11;31;127;26;14;22;5;4;0;19;7;3;3;0;2
198711;57;8;35;122;31;10;21;3;2;0;17;10;4;8;0;2
198712;64;6;30;134;31;14;21;2;2;0;17;9;4;4;0;4
198801;59;11;30;129;32;11;20;4;3;1;17;5;4;3;0;4
198802;59;13;28;131;30;10;20;2;3;1;20;8;4;2;0;3
198803;62;8;30;132;32;11;20;4;4;1;21;6;3;1;1;3
198804;63;12;25;138;30;12;21;3;3;1;15;6;5;2;0;2
198805;64;10;26;138;29;14;17;5;4;0;17;6;3;2;0;2
198806;62;11;27;135;30;14;16;4;3;1;18;4;1;2;0;3
198807;62;10;28;134;33;13;14;3;5;0;16;6;3;2;0;3
198808;62;12;26;136;30;15;16;6;4;0;18;6;4;2;0;2
198809;61;13;26;135;31;14;14;6;4;0;17;9;2;2;0;3
198810;60;12;28;132;31;13;12;7;4;0;19;8;3;1;0;5
198811;61;9;30;131;27;15;14;4;4;0;17;7;2;2;0;3
198812;61;10;29;132;26;17;11;7;4;0;18;9;4;3;0;2
198901;62;11;27;135;28;18;11;6;5;1;17;7;2;1;0;4
198902;61;11;28;133;30;14;15;6;4;1;17;6;4;1;0;3
198903;61;8;31;130;27;12;15;5;3;0;18;13;2;2;1;3
198904;65;9;26;139;32;12;25;4;3;0;16;9;3;3;1;2
198905;63;10;27;136;29;14;23;4;3;0;16;6;4;2;1;3
198906;61;10;29;132;33;11;21;2;2;1;18;7;3;1;2;2
198907;64;10;26;138;32;15;19;2;3;0;18;4;2;1;0;3
198908;61;11;28;133;35;14;18;4;2;0;22;7;2;2;0;2
198909;61;9;30;131;32;10;18;2;4;1;19;6;5;1;0;3
198910;62;10;28;134;36;16;12;2;3;0;18;6;4;2;0;2
198911;62;10;28;134;41;11;15;2;2;0;23;5;4;1;0;3
198912;58;10;32;126;38;11;13;2;1;0;21;6;4;1;0;4
199001;63;11;26;137;48;10;11;2;2;0;17;5;2;2;0;3
199002;63;6;31;132;48;8;11;2;2;0;22;6;4;2;0;3
199003;65;6;29;136;48;10;11;1;2;1;21;4;4;2;0;4
199004;66;7;27;139;45;13;11;2;2;1;18;4;4;2;0;2
199005;64;9;27;137;41;12;12;2;1;1;17;7;2;2;0;3
199006;63;8;29;134;41;14;12;2;2;0;20;7;3;3;1;4
199007;65;9;26;139;41;13;10;2;2;0;16;7;5;1;0;3
199008;57;5;38;119;32;16;9;3;1;1;21;9;3;5;5;3
199009;59;4;37;122;34;13;9;3;1;4;17;7;4;5;10;3
199010;50;8;42;108;35;8;5;3;1;2;19;8;8;10;12;4
199011;50;5;45;105;34;13;5;2;1;1;19;10;6;10;7;4
199012;47;10;43;104;36;7;8;2;1;1;17;7;7;13;7;2
199101;48;9;43;105;36;7;9;2;2;1;15;6;11;12;5;2
199102;53;8;39;114;43;4;10;0;1;1;14;4;11;10;5;3
199103;66;6;28;138;48;8;16;1;2;1;14;3;9;4;1;3
199104;63;6;31;132;51;11;12;1;1;0;18;6;11;4;0;2
199105;61;5;34;127;46;8;16;1;1;1;19;6;10;4;0;2
199106;61;7;32;129;43;10;13;1;1;0;20;5;9;5;0;2
199107;64;6;30;134;50;7;17;0;2;0;15;6;6;7;1;1
199108;64;7;29;135;48;8;16;1;1;0;16;4;9;5;0;2
199109;58;7;35;123;39;9;16;0;2;0;23;5;10;5;0;1
199110;58;7;35;123;41;13;12;1;1;0;20;5;10;5;0;3
199111;59;6;35;124;46;5;19;1;1;1;21;5;11;10;0;3
199112;52;9;39;113;43;6;17;1;0;0;20;8;11;9;0;3
199201;59;5;36;123;46;3;24;0;1;1;16;4;13;11;0;2
199202;60;6;34;126;46;5;25;1;2;0;15;2;11;11;0;2
199203;60;5;35;125;44;6;24;1;2;0;21;2;10;11;1;2
199204;63;5;32;131;41;7;27;1;1;0;16;4;9;7;0;2
199205;64;7;29;135;41;7;28;2;2;0;14;2;9;7;1;3
199206;68;8;24;144;44;8;30;2;2;1;16;3;6;6;0;3
199207;62;4;34;128;38;6;22;1;2;0;20;4;10;7;0;2
199208;62;5;33;129;39;7;26;1;3;0;18;4;9;12;0;3
199209;62;6;32;130;40;7;27;1;2;0;19;3;9;9;0;1
199210;56;9;35;121;36;7;22;2;1;0;18;3;11;8;1;3
199211;63;8;29;134;35;9;27;2;3;0;14;4;8;7;0;1
199212;69;7;24;145;41;6;25;2;4;0;12;2;7;6;0;1
199301;63;8;29;134;43;5;25;1;5;0;15;4;9;4;1;2
199302;61;10;29;132;36;4;26;1;5;0;15;5;7;8;0;2
199303;64;8;28;136;32;10;29;2;4;0;16;3;9;7;0;2
199304;64;9;27;137;34;7;30;2;5;0;16;2;7;5;0;2
199305;65;10;25;140;35;9;29;1;5;0;14;3;7;5;0;3
199306;67;6;27;140;30;8;31;3;7;1;13;2;8;7;1;1
199307;67;7;26;141;38;7;33;1;2;0;16;2;8;4;0;2
199308;64;10;26;138;33;8;26;1;5;0;17;3;8;6;0;2
199309;63;8;29;134;32;7;32;1;3;1;16;2;8;6;0;2
199310;63;6;31;132;29;10;27;2;5;1;22;3;9;4;0;2
199311;65;9;26;139;30;8;33;1;5;1;16;2;8;5;0;2
199312;68;8;24;144;32;6;34;1;7;0;17;1;6;4;0;2
199401;70;8;22;148;34;6;34;2;9;1;14;2;7;2;0;2
199402;73;9;18;155;35;8;37;1;7;0;12;3;3;2;0;1
199403;70;7;23;147;29;13;31;3;8;0;17;2;5;3;0;2
199404;71;8;21;150;29;14;31;3;7;0;15;2;6;2;0;1
199405;67;9;24;143;26;12;27;4;7;0;15;3;4;3;0;3
199406;68;8;24;144;27;10;27;3;8;1;15;5;3;2;1;1
199407;68;7;25;143;28;14;27;4;6;1;17;4;6;2;0;2
199408;67;9;24;143;27;13;24;4;7;0;17;7;2;1;0;2
199409;68;8;24;144;25;14;24;4;7;1;19;4;3;2;0;1
199410;66;6;28;138;28;13;23;3;9;1;21;6;5;3;0;2
199411;64;9;27;137;27;10;22;4;8;1;18;6;6;2;0;0
199412;62;10;28;134;22;12;16;7;9;1;18;9;6;1;0;2
199501;67;5;28;139;28;12;17;6;10;0;19;7;5;2;0;2
199502;60;9;31;129;23;13;15;4;8;0;21;11;6;2;0;2
199503;64;8;28;136;29;13;16;6;9;1;18;9;4;3;0;1
199504;57;9;34;123;23;12;17;4;8;0;25;9;5;2;0;4
199505;61;7;32;129;30;14;17;3;5;0;24;6;4;2;0;1
199506;61;9;30;131;29;13;19;3;5;0;21;5;4;2;0;1
199507;68;5;27;141;27;10;26;1;7;0;18;4;7;4;0;1
199508;61;7;32;129;27;12;21;2;7;0;23;4;6;2;0;2
199509;64;7;29;135;28;12;20;1;7;0;22;4;5;2;0;1
199510;57;11;32;125;33;9;16;1;4;0;23;2;8;4;0;2
199511;59;12;29;130;27;10;19;3;6;1;22;3;6;1;0;2
199512;62;9;29;133;28;12;20;1;8;0;20;3;7;3;0;2
199601;58;6;36;122;26;10;20;2;4;0;21;3;9;5;0;2
199602;61;7;32;129;31;10;22;1;5;0;24;3;6;2;0;2
199603;63;8;29;134;27;10;25;1;7;0;22;4;5;3;0;1
199604;57;11;32;125;24;11;22;1;5;0;25;3;4;4;0;2
199605;59;9;32;127;27;12;21;3;6;1;22;5;4;3;1;2
199606;64;9;27;137;26;11;19;2;8;0;21;3;3;3;1;3
199607;66;6;28;138;27;14;23;3;7;0;23;2;4;1;1;1
199608;66;7;27;139;29;13;22;2;7;0;19;4;4;2;0;2
199609;63;8;29;134;26;13;18;4;7;0;20;4;5;2;0;2
199610;62;8;30;132;25;13;18;3;6;1;24;4;5;2;0;2
199611;63;9;28;135;28;10;19;2;6;0;21;4;4;0;0;2
199612;63;8;29;134;23;11;16;2;7;1;21;2;3;2;1;2
199701;65;11;24;141;26;11;16;2;13;0;19;3;4;1;0;2
199702;61;8;31;130;22;11;21;1;12;0;24;3;6;1;0;2
199703;64;7;29;135;23;12;22;2;9;0;23;4;5;1;0;3
199704;63;10;27;136;27;9;14;5;8;1;20;6;4;1;0;1
199705;71;8;21;150;30;13;19;2;11;0;17;3;3;1;0;0
199706;74;6;20;154;26;13;21;2;11;0;14;3;2;0;0;2
199707;63;10;27;136;22;7;20;2;10;0;20;5;1;1;0;2
199708;63;13;24;139;23;9;22;2;7;0;16;3;4;1;0;3
199709;67;9;24;143;27;10;21;1;9;0;17;2;2;1;0;2
199710;64;13;23;141;23;8;18;1;9;1;16;4;3;1;1;2
